PartitionKey,RowKey,Company,DisplayName,GUID,Token
AdvancedChicletSlicer1448559807355,4,Microsoft,AdvancedChicletSlicer,AdvancedChicletSlicer1448559807355,Microsoft
Aquarium1442671919391,67,Enlighten Designs,Enlighten Aquarium,Aquarium1442671919391,Enlighten Designs
AsterPlot1443303142064,10,Microsoft,AsterPlot,AsterPlot1443303142064,Microsoft
AttributeSlicer1652434005853,11,MSR,Attribute Slicer,AttributeSlicer1652434005853,MSR
BarChartF5983CEA542C47889C9DE852B430DE5F,103,Microsoft,Horizontal Bar Chart,BarChartF5983CEA542C47889C9DE852B430DE5F,Microsoft
BowtieChart1465021618681,13,MAQ LLC,Bowtie Chart by MAQ Software,BowtieChart1465021618681,MAQ LLC
BoxWhisker1449771136386,16,Brad Sarsfield,Box and Whisker(Brad),BoxWhisker1449771136386,Brad Sarsfield
BoxWhiskerChart1455240051538,14,Jan Pieter Posthuma,Box and Whisker chart,BoxWhiskerChart1455240051538,Jan Pieter Posthuma
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,15,MAQ LLC,Box and Whisker chart by MAQ Software,BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,MAQ LLC
BrickChart1454871868044,17,MAQ LLC,Brick Chart by MAQ Software,BrickChart1454871868044,MAQ LLC
BrushChart1447292826280,3,Cambridge Technology Partners,Advanced Time Slicer,BrushChart1447292826280,Cambridge Technology Partners
BulletChart1443347686880,21,Microsoft,Bullet Chart,BulletChart1443347686880,Microsoft
CalendarVisual1442774095659,24,Elastacloud Limited,Calendar Visual,CalendarVisual1442774095659,Elastacloud Limited
CalendarVisualA45056645E4E428B9D26EF971839A6B5,23,"Tallan, Inc",Calendar by Tallan,CalendarVisualA45056645E4E428B9D26EF971839A6B5,"Tallan, Inc"
CardBrowser8D7CFFDA2E7E400C9474F41B9EDBBA58,26,MSR,Card Browser,CardBrowser8D7CFFDA2E7E400C9474F41B9EDBBA58,MSR
ChicletSlicer1448559807354,32,Microsoft,Chiclet Slicer,ChicletSlicer1448559807354,Microsoft
ChordChart1444757060245,33,Microsoft,Chord,ChordChart1444757060245,Microsoft
CircularGauge1458053128559,34,MAQ LLC,Circular Gauge by MAQ Software,CircularGauge1458053128559,MAQ LLC
ClusterMap1652434605854,35,MSR,Cluster Map,ClusterMap1652434605854,MSR
ClusteringUsingOPTICSCAD9384DAA1042E78771F55A0BD811D8,37,MAQ Software,Clustering using OPTICS by MAQ Software,ClusteringUsingOPTICSCAD9384DAA1042E78771F55A0BD811D8,MAQ Software
CollabionDonut1479946737541,53,Collabion,Donut 3D Chart by Collabion,CollabionDonut1479946737541,Collabion
CollabionPie1482191307239,135,Collabion,Pie 3D,CollabionPie1482191307239,Collabion
D3JSVisual_PBI_CV_CDD143DEC3A145E7A507B562AF6CF490,47,Jan Pieter Posthuma,D3.js Visual,D3JSVisual_PBI_CV_CDD143DEC3A145E7A507B562AF6CF490,Jan Pieter Posthuma
DatePickerFilter67ACDAFEF8744EB0A088E040B0E5FED9,50,MAQ LLC,DatePickerFilter,DatePickerFilter67ACDAFEF8744EB0A088E040B0E5FED9,MAQ LLC
DonutChartGMO1461469098694,148,MAQ LLC,Ring Chart by MAQ Software,DonutChartGMO1461469098694,MAQ LLC
DotPlot1442374105856,54,Microsoft,Dot Plot,DotPlot1442374105856,Microsoft
DotPlotByMAQ1823AB39DB234AB522063E728AD,55,MAQ LLC,Dot Plot by MAQ Software,DotPlotByMAQ1823AB39DB234AB522063E728AD,MAQ LLC
DumbbellChartB13A88DFEE724350B46BCF0EFA5B6E321,64,MAQ Software,Dumbbell Chart by MAQ Software,DumbbellChartB13A88DFEE724350B46BCF0EFA5B6E321,MAQ Software
EnhancedScatterChart1443994985041,66,Microsoft,Enhanced Scatter,EnhancedScatterChart1443994985041,Microsoft
FacetKey1642434105454,74,MSR,Facet Key,FacetKey1642434105454,MSR
FilterByList507A2DBEC31244C8AAABDE9BA541F723,75,DevScope,Filter by List,FilterByList507A2DBEC31244C8AAABDE9BA541F723,DevScope
