PartitionKey,RowKey,Timestamp,Company,Company@type,DisplayName,DisplayName@type,GUID,GUID@type,Token,Token@type
AdvancedChicletSlicer1448559807355,4,2018-07-01T10:34:14.739Z,Microsoft,Edm.String,AdvancedChicletSlicer,Edm.String,AdvancedChicletSlicer1448559807355,Edm.String,Microsoft,Edm.String
Aquarium1442671919391,67,2018-07-01T10:34:14.744Z,Enlighten Designs,Edm.String,Enlighten Aquarium,Edm.String,Aquarium1442671919391,Edm.String,Enlighten Designs,Edm.String
AsterPlot1443303142064,10,2018-07-01T10:34:14.710Z,Microsoft,Edm.String,AsterPlot,Edm.String,AsterPlot1443303142064,Edm.String,Microsoft,Edm.String
AttributeSlicer1652434005853,11,2018-07-01T10:34:14.690Z,MSR,Edm.String,Attribute Slicer,Edm.String,AttributeSlicer1652434005853,Edm.String,MSR,Edm.String
BarChartF5983CEA542C47889C9DE852B430DE5F,103,2018-07-01T10:34:14.749Z,Microsoft,Edm.String,Horizontal Bar Chart,Edm.String,BarChartF5983CEA542C47889C9DE852B430DE5F,Edm.String,Microsoft,Edm.String
BowtieChart1465021618681,13,2018-07-01T10:34:14.716Z,MAQ LLC,Edm.String,Bowtie Chart by MAQ Software,Edm.String,BowtieChart1465021618681,Edm.String,MAQ LLC,Edm.String
BoxWhisker1449771136386,16,2018-07-01T10:34:14.716Z,Brad Sarsfield,Edm.String,Box and Whisker(Brad),Edm.String,BoxWhisker1449771136386,Edm.String,Brad Sarsfield,Edm.String
BoxWhiskerChart1455240051538,14,2018-07-01T10:34:14.748Z,Jan Pieter Posthuma,Edm.String,Box and Whisker chart,Edm.String,BoxWhiskerChart1455240051538,Edm.String,Jan Pieter Posthuma,Edm.String
BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,15,2018-07-01T10:34:14.721Z,MAQ LLC,Edm.String,Box and Whisker chart by MAQ Software,Edm.String,BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX,Edm.String,MAQ LLC,Edm.String
BrickChart1454871868044,17,2018-07-01T10:34:14.719Z,MAQ LLC,Edm.String,Brick Chart by MAQ Software,Edm.String,BrickChart1454871868044,Edm.String,MAQ LLC,Edm.String
BrushChart1447292826280,3,2018-07-01T10:34:14.757Z,Cambridge Technology Partners,Edm.String,Advanced Time Slicer,Edm.String,BrushChart1447292826280,Edm.String,Cambridge Technology Partners,Edm.String
BulletChart1443347686880,21,2018-07-01T10:34:14.724Z,Microsoft,Edm.String,Bullet Chart,Edm.String,BulletChart1443347686880,Edm.String,Microsoft,Edm.String
CalendarVisual1442774095659,24,2018-07-01T10:34:14.758Z,Elastacloud Limited,Edm.String,Calendar Visual,Edm.String,CalendarVisual1442774095659,Edm.String,Elastacloud Limited,Edm.String
CalendarVisualA45056645E4E428B9D26EF971839A6B5,23,2018-07-01T10:34:14.762Z,"Tallan, Inc",Edm.String,Calendar by Tallan,Edm.String,CalendarVisualA45056645E4E428B9D26EF971839A6B5,Edm.String,"Tallan, Inc",Edm.String
CardBrowser8D7CFFDA2E7E400C9474F41B9EDBBA58,26,2018-07-01T10:34:14.767Z,MSR,Edm.String,Card Browser,Edm.String,CardBrowser8D7CFFDA2E7E400C9474F41B9EDBBA58,Edm.String,MSR,Edm.String
ChicletSlicer1448559807354,32,2018-07-01T10:34:14.768Z,Microsoft,Edm.String,Chiclet Slicer,Edm.String,ChicletSlicer1448559807354,Edm.String,Microsoft,Edm.String
ChordChart1444757060245,33,2018-07-01T10:34:14.775Z,Microsoft,Edm.String,Chord,Edm.String,ChordChart1444757060245,Edm.String,Microsoft,Edm.String
CircularGauge1458053128559,34,2018-07-01T10:34:14.743Z,MAQ LLC,Edm.String,Circular Gauge by MAQ Software,Edm.String,CircularGauge1458053128559,Edm.String,MAQ LLC,Edm.String
ClusterMap1652434605854,35,2018-07-01T10:34:14.728Z,MSR,Edm.String,Cluster Map,Edm.String,ClusterMap1652434605854,Edm.String,MSR,Edm.String
ClusteringUsingOPTICSCAD9384DAA1042E78771F55A0BD811D8,37,2018-07-01T10:34:14.816Z,MAQ Software,Edm.String,Clustering using OPTICS by MAQ Software,Edm.String,ClusteringUsingOPTICSCAD9384DAA1042E78771F55A0BD811D8,Edm.String,MAQ Software,Edm.String
CollabionDonut1479946737541,53,2018-07-01T10:34:14.733Z,Collabion,Edm.String,Donut 3D Chart by Collabion,Edm.String,CollabionDonut1479946737541,Edm.String,Collabion,Edm.String
CollabionPie1482191307239,135,2018-07-01T10:34:14.770Z,Collabion,Edm.String,Pie 3D,Edm.String,CollabionPie1482191307239,Edm.String,Collabion,Edm.String
D3JSVisual_PBI_CV_CDD143DEC3A145E7A507B562AF6CF490,47,2018-07-01T10:34:14.730Z,Jan Pieter Posthuma,Edm.String,D3.js Visual,Edm.String,D3JSVisual_PBI_CV_CDD143DEC3A145E7A507B562AF6CF490,Edm.String,Jan Pieter Posthuma,Edm.String
DatePickerFilter67ACDAFEF8744EB0A088E040B0E5FED9,50,2018-07-01T10:34:14.776Z,MAQ LLC,Edm.String,DatePickerFilter,Edm.String,DatePickerFilter67ACDAFEF8744EB0A088E040B0E5FED9,Edm.String,MAQ LLC,Edm.String
DonutChartGMO1461469098694,148,2018-07-01T10:34:14.740Z,MAQ LLC,Edm.String,Ring Chart by MAQ Software,Edm.String,DonutChartGMO1461469098694,Edm.String,MAQ LLC,Edm.String
DotPlot1442374105856,54,2018-07-01T10:34:14.737Z,Microsoft,Edm.String,Dot Plot,Edm.String,DotPlot1442374105856,Edm.String,Microsoft,Edm.String
DotPlotByMAQ1823AB39DB234AB522063E728AD,55,2018-07-01T10:34:14.775Z,MAQ LLC,Edm.String,Dot Plot by MAQ Software,Edm.String,DotPlotByMAQ1823AB39DB234AB522063E728AD,Edm.String,MAQ LLC,Edm.String
DumbbellChartB13A88DFEE724350B46BCF0EFA5B6E321,64,2018-07-01T10:34:14.738Z,MAQ Software,Edm.String,Dumbbell Chart by MAQ Software,Edm.String,DumbbellChartB13A88DFEE724350B46BCF0EFA5B6E321,Edm.String,MAQ Software,Edm.String
EnhancedScatterChart1443994985041,66,2018-07-01T10:34:14.778Z,Microsoft,Edm.String,Enhanced Scatter,Edm.String,EnhancedScatterChart1443994985041,Edm.String,Microsoft,Edm.String
FacetKey1642434105454,74,2018-07-01T10:34:14.778Z,MSR,Edm.String,Facet Key,Edm.String,FacetKey1642434105454,Edm.String,MSR,Edm.String
FilterByList507A2DBEC31244C8AAABDE9BA541F723,75,2018-07-01T10:34:14.745Z,DevScope,Edm.String,Filter by List,Edm.String,FilterByList507A2DBEC31244C8AAABDE9BA541F723,Edm.String,DevScope,Edm.String
ForceGraph1449359463895,81,2018-07-01T10:34:14.786Z,Microsoft,Edm.String,Force-Directed Graph,Edm.String,ForceGraph1449359463895,Edm.String,Microsoft,Edm.String
ForecastUsingNeuralNetworkC3FF19A2F6084F9DB72C16B27773958,82,2018-07-01T10:34:14.753Z,MAQ Software,Edm.String,Forecast using Neural Network by MAQ Software,Edm.String,ForecastUsingNeuralNetworkC3FF19A2F6084F9DB72C16B27773958,Edm.String,MAQ Software,Edm.String
Gantt1448688115699,87,2018-07-01T10:34:14.753Z,Microsoft,Edm.String,Gantt,Edm.String,Gantt1448688115699,Edm.String,Microsoft,Edm.String
GanttChartByMAQSoftware1448688115701,88,2018-07-01T10:34:14.792Z,MAQ LLC,Edm.String,Gantt Chart By MAQ Software,Edm.String,GanttChartByMAQSoftware1448688115701,Edm.String,MAQ LLC,Edm.String
GapAnalysis1451400925949,90,2018-07-01T10:34:14.746Z,AllAboutData,Edm.String,GapAnalysis,Edm.String,GapAnalysis1451400925949,Edm.String,AllAboutData,Edm.String
GlobeMap1447669447625,92,2018-07-01T10:34:14.795Z,Microsoft,Edm.String,Globe Map,Edm.String,GlobeMap1447669447625,Edm.String,Microsoft,Edm.String
HierarchySlicer1458836712039,100,2018-07-01T10:34:14.795Z,Jan Pieter Posthuma,Edm.String,HierarchySlicer,Edm.String,HierarchySlicer1458836712039,Edm.String,Jan Pieter Posthuma,Edm.String
Histogram1445664487616,101,2018-07-01T10:34:14.760Z,Microsoft,Edm.String,Histogram Chart,Edm.String,Histogram1445664487616,Edm.String,Microsoft,Edm.String
HorizontalFunnel1449177164235,104,2018-07-01T10:34:14.768Z,MAQ LLC,Edm.String,Horizontal Funnel by MAQ Software,Edm.String,HorizontalFunnel1449177164235,Edm.String,MAQ LLC,Edm.String
ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,109,2018-07-01T10:34:14.801Z,Fredrik HedenstrAm,Edm.String,Image Grid,Edm.String,ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,Edm.String,Fredrik HedenstrAm,Edm.String
ImgViewerVisual1455487926945,111,2018-07-01T10:34:14.797Z,Lukasz Pawlowski,Edm.String,Image Viewer,Edm.String,ImgViewerVisual1455487926945,Edm.String,Lukasz Pawlowski,Edm.String
KPIColumn1823AB39DB23410928ADF752BCB2A457,116,2018-07-01T10:34:14.765Z,MAQ LLC,Edm.String,KPI Column by MAQ Software,Edm.String,KPIColumn1823AB39DB23410928ADF752BCB2A457,Edm.String,MAQ LLC,Edm.String
KPIGrid39FBAB0336346DBB68AB522063E7241,117,2018-07-01T10:34:14.809Z,MAQ LLC,Edm.String,KPI Grid,Edm.String,KPIGrid39FBAB0336346DBB68AB522063E7241,Edm.String,MAQ LLC,Edm.String
KPIStatusWithHistory1446562283967,118,2018-07-01T10:34:14.784Z,Fredrik HedenstrAm,Edm.String,KPI Indicator,Edm.String,KPIStatusWithHistory1446562283967,Edm.String,Fredrik HedenstrAm,Edm.String
LineDotChart1460463831201,122,2018-07-01T10:34:14.772Z,Microsoft,Edm.String,LineDot Chart,Edm.String,LineDotChart1460463831201,Edm.String,Microsoft,Edm.String
LinearGauge1450736844786,121,2018-07-01T10:34:14.812Z,MAQ LLC,Edm.String,Linear Gauge by MAQ Software,Edm.String,LinearGauge1450736844786,Edm.String,MAQ LLC,Edm.String
LongTextViewer1453740445633,124,2018-07-01T10:34:14.809Z,Lukasz Pawlowski,Edm.String,Long Text Viewer,Edm.String,LongTextViewer1453740445633,Edm.String,Lukasz Pawlowski,Edm.String
MekkoChart1449744733038,127,2018-07-01T10:34:14.817Z,Microsoft,Edm.String,Mekko Chart,Edm.String,MekkoChart1449744733038,Edm.String,Microsoft,Edm.String
NetworkNavigator1550434005853,129,2018-07-01T10:34:14.816Z,MSR,Edm.String,Network Navigator Chart,Edm.String,NetworkNavigator1550434005853,Edm.String,MSR,Edm.String
PBI_3AGSystems_0B9C9FBA_15A2_4A94_8AE4_8F778869B190,41,2018-07-01T10:34:14.777Z,3AG Systems,Edm.String,Column chart with variance,Edm.String,PBI_3AGSystems_0B9C9FBA_15A2_4A94_8AE4_8F778869B190,Edm.String,3AG Systems,Edm.String
